season	club	squad	average age	foreigners	average market value in euro	total market value in euro
2021	Bayern Munich	26	26.1	15	32330000	840500000
2021	Borussia Dortmund	33	25	18	18300000	603800000
2021	RB Leipzig	29	24.2	22	17160000	497550000
2021	Bayer Leverkusen	28	24.7	20	13840000	387450000
2021	VfL Wolfsburg	32	25.4	21	8940000	286030000
2021	Borussia Monchengladbach	28	25.6	15	9700000	271500000
2021	TSG Hoffenheim	33	25.8	20	6140000	202550000
2021	Eintracht Frankfurt	32	25.7	21	6260000	200450000
2021	VfB Stuttgart	34	23.4	19	5120000	174200000
2021	SC Freiburg	26	25.6	9	5080000	132150000
2021	Hertha Berlin	29	26.3	15	4230000	122700000
2021	Mainz	25	25.8	13	4250000	106200000
2021	FC Augsburg	28	26.3	17	3330000	93100000
2021	FC Cologne	29	25.6	11	2810000	81460000
2021	1. FC Union Berlin	31	27.2	13	2530000	78300000
2021	Arminia Bielefeld	24	25	15	2200000	52750000
2021	VfL Bochum	30	27.7	14	1270000	38100000
2021	SpVgg Greuther Fürth	31	24.7	11	1190000	37030000
2020	Bayern Munich	45	22.9	21	17250000	776280000
2020	Borussia Dortmund	32	24	16	18120000	579730000
2020	RB Leipzig	32	22.7	22	15260000	488480000
2020	Bayer Leverkusen	33	24.1	21	10200000	336450000
2020	Borussia Monchengladbach	33	24.7	19	8310000	274130000
2020	Hertha Berlin	38	23.4	21	7080000	269230000
2020	TSG Hoffenheim	37	24.1	25	6500000	240400000
2020	Schalke 04	45	23.8	25	5030000	226400000
2020	Eintracht Frankfurt	36	24.7	24	6180000	222450000
2020	VfL Wolfsburg	30	25	20	6510000	195250000
2020	Mainz	36	23.9	18	3690000	133000000
2020	Werder Bremen	33	24.2	15	4030000	132830000
2020	FC Cologne	36	23.9	15	3610000	129850000
2020	FC Augsburg	31	24.8	18	3300000	102280000
2020	SC Freiburg	30	24.2	13	3310000	99150000
2020	VfB Stuttgart	32	22.9	16	2150000	68700000
2020	1. FC Union Berlin	33	24.8	10	1730000	56980000
2020	Arminia Bielefeld	33	23.9	16	1580000	52000000
2019	Bayern Munich	38	22.7	20	23990000	911730000
2019	Borussia Dortmund	37	23.5	19	18680000	691030000
2019	RB Leipzig	38	22	26	14790000	561900000
2019	Bayer Leverkusen	29	24.2	18	15210000	440950000
