season,date,team1,team2,average_age,points_last_season,points_this_season,rank_last_season,squad,total_market_value_in_euro,result_team1
2016,2016-08-26,Bayern Munich,Werder Bremen,0.5697674418604652,0.9133858267716536,0.5508474576271186,0.2,0.2777777777777778,0.79378352436339,2
2016,2016-08-27,FC Cologne,SV Darmstadt 98,0.34883720930232553,0.5590551181102362,0.5508474576271186,0.375,0.25,0.5251651516007001,2
2016,2016-08-27,Borussia Dortmund,Mainz,0.6046511627906975,0.7401574803149606,0.5508474576271186,0.4,0.2777777777777778,0.6328835187171814,2
2016,2016-08-27,FC Augsburg,VfL Wolfsburg,0.7093023255813954,0.4645669291338583,0.5,0.6,0.3333333333333333,0.41173846761899385,0
2016,2016-08-27,Hamburg SV,FC Ingolstadt 04,0.4767441860465117,0.5275590551181102,0.5254237288135594,0.475,0.6666666666666666,0.5329173959686071,1
2016,2016-08-27,Borussia Monchengladbach,Bayer Leverkusen,0.5697674418604649,0.48031496062992124,0.5508474576271186,0.525,0.3333333333333333,0.44987296030715374,2
2016,2016-08-27,Eintracht Frankfurt,Schalke 04,0.43023255813953515,0.3937007874015748,0.5508474576271186,0.775,0.3888888888888889,0.4025182090226413,2
2016,2016-08-28,Hertha Berlin,SC Freiburg,0.5,0.9133858267716536,0.5508474576271186,0.2,0.4166666666666667,0.520185195641127,2
2016,2016-08-28,TSG Hoffenheim,RB Leipzig,0.6046511627906975,0.8110236220472441,0.5254237288135594,0.375,0.5,0.5041612557167862,1
2016,2016-09-09,Schalke 04,Bayern Munich,0.33720930232558116,0.3779527559055118,0.4745762711864407,0.6,0.6666666666666666,0.29862797131726043,0
2016,2016-09-10,Bayer Leverkusen,Hamburg SV,0.40697674418604646,0.594488188976378,0.5423728813559322,0.325,0.5277777777777778,0.5844672802213314,2
2016,2016-09-10,SC Freiburg,Borussia Monchengladbach,0.5697674418604652,0.3031496062992126,0.5254237288135594,0.875,0.5833333333333334,0.43475805996273503,2
2016,2016-09-10,VfL Wolfsburg,FC Cologne,0.39534883720930253,0.5275590551181102,0.5254237288135594,0.475,0.8611111111111112,0.5835356558071255,1
2016,2016-09-10,RB Leipzig,Borussia Dortmund,0.3139534883720933,0.2125984251968504,0.5338983050847458,0.95,0.5555555555555556,0.3577889447236181,2
